rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio,first_nonzero_shift_samples,engineering_latency_removed
44100,fir17-p18000-s19000,edge,AB,0.2289766867888784,0.2545463793672195,0.228982727307962,True,0.9471157185705564,0,8
44100,fir17-p18000-s19000,overlap-reference,A1,0.0025448266169916015,0.006108401512182805,0.0025450590012706274,True,0.9999583727976478,0,8
44100,fir17-p18000-s19000,overlap-reference,B1,0.0017603833373393176,0.007826726860572484,0.0017605243159605779,True,1.0000633606146,0,8
44100,fir17-p18000-s19000,overlap-reference,AB,0.0025448227030071143,0.006108401512182805,0.0025450557907595304,True,0.9999583727976478,0,8
44100,fir17-p18000-s19000,sustained-edge,A1,0.1231206384891507,0.09187369380821338,0.12312587329997292,True,1.0309449151296717,0,8
44100,fir17-p18000-s19000,sustained-edge,B1,0.412933595280711,0.31808505968519724,0.41293942100239744,True,0.6911956495657722,0,8
44100,fir17-p18000-s19000,sustained-edge,AB,0.12312050504307455,0.09187369380821338,0.12312574219301653,True,1.0309449151296717,0,8
44100,fir33-p18000-s19000,reference,A1,0.01963402090104189,0.04863022897582335,0.019631411116735734,True,1.0237476808786052,0,16
44100,fir33-p18000-s19000,reference,B1,0.001953629007093149,0.007726902746798183,0.001953324231815632,True,1.0007610332280872,0,16
44100,fir33-p18000-s19000,reference,AB,0.01960889148552589,0.04863022897582335,0.019606266286632198,True,1.0237476808786052,0,16
44100,fir33-p18000-s19000,edge,A1,0.22777104299095693,0.22594411367852615,0.22776076108464902,True,0.9616798910214984,0,16
44100,fir33-p18000-s19000,edge,B1,0.4040519643384483,0.29516107941127684,0.40403130861703673,True,0.7499111499444422,0,16
44100,fir33-p18000-s19000,edge,AB,0.22777107567309235,0.22594411367852615,0.2277607862588873,True,0.9616798910214984,0,16
44100,fir33-p18000-s19000,overlap-reference,A1,0.0026918198754528663,0.005945233991289492,0.0026915067389571144,True,1.0003692322869628,0,16
44100,fir33-p18000-s19000,overlap-reference,B1,0.0019536293141319445,0.007726901319492458,0.0019533245367519894,True,1.0007610261121362,0,16
44100,fir33-p18000-s19000,overlap-reference,AB,0.00269180788853252,0.005945233991289492,0.0026914954714927345,True,1.0003692322869628,0,16
44100,fir33-p18000-s19000,sustained-edge,A1,0.12246848656192288,0.08155024893645615,0.12245447529167605,True,1.035318510289092,0,16
44100,fir33-p18000-s19000,sustained-edge,B1,0.4040519593892005,0.2951610705208043,0.40403130367069984,True,0.7499111594921183,0,16
44100,fir33-p18000-s19000,sustained-edge,AB,0.12246832012059279,0.08155024893645615,0.12245431124994174,True,1.035318510289092,0,16
44100,fir65-p18000-s19000,reference,A1,0.020504700011367265,0.047829255186888825,0.02050058231354889,True,1.0241410630419412,0,32
44100,fir65-p18000-s19000,reference,B1,0.0020300609740699525,0.007669245965166453,0.002029600255611448,True,1.0006507109559983,0,32
44100,fir65-p18000-s19000,reference,AB,0.020478453601367547,0.047829255186888825,0.020474322875856252,True,1.0241410630419412,0,32
44100,fir65-p18000-s19000,edge,A1,0.23361841543794162,0.2387424942942854,0.23354855829035517,True,0.9652625376302926,0,32
44100,fir65-p18000-s19000,edge,B1,0.40804625198866334,0.279233999510608,0.40796568789984766,True,0.8008788547806229,0,32
