rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio
44100,bessel4-fc18000,reference,B1,0.0739000239086508,0.10161768471364867,0.0018412389444862525,True,1.0080911685465963
44100,bessel4-fc18000,reference,AB,0.19765595511476994,0.3257409261799138,0.020266581972432203,True,1.0258940426754917
44100,bessel4-fc18000,edge,A1,0.9428945204079101,1.0634729581611388,0.21074486158133707,True,0.7050145641907053
44100,bessel4-fc18000,edge,B1,1.3689458473865492,1.1168622322904564,0.3548686661543721,True,0.628590648859892
44100,bessel4-fc18000,edge,AB,0.9428945902255003,1.0634729581611388,0.21074487925402088,True,0.7050145641907053
44100,bessel4-fc18000,overlap-reference,A1,0.048794986078184284,0.0649113308739427,0.0026794599136359468,True,0.998273398476587
44100,bessel4-fc18000,overlap-reference,B1,0.07390002381060344,0.10161768069151544,0.001841239317813532,True,1.0080911158757118
44100,bessel4-fc18000,overlap-reference,AB,0.04879537191848635,0.0649113308739427,0.0026794770847381627,True,0.998273398476587
44100,bessel4-fc18000,sustained-edge,A1,0.6865386405802966,0.38384040864733115,0.12244730931611553,True,1.0722634053972175
44100,bessel4-fc18000,sustained-edge,B1,1.3689458489311728,1.1168622431697017,0.3548686614090426,True,0.6285906669427221
44100,bessel4-fc18000,sustained-edge,AB,0.6865390367435156,0.38384040864733115,0.1224472699417922,True,1.0722634053972175
44100,bessel4-fc20000,reference,A1,0.10385239797999431,0.2159138512275262,0.01253803690528862,True,1.0150068149711393
44100,bessel4-fc20000,reference,B1,0.03673083120911519,0.056958896926408535,0.0012483684408053854,True,1.0046693854199014
44100,bessel4-fc20000,reference,AB,0.10373495120881304,0.2159138512275262,0.012521962311224133,True,1.0150068149711393
44100,bessel4-fc20000,edge,A1,0.6029571007954343,0.7634910182746621,0.10166087836987056,True,0.9144041897208665
44100,bessel4-fc20000,edge,B1,0.9440805143334742,0.8217486364947703,0.1626585647717081,True,0.8462239923810431
44100,bessel4-fc20000,edge,AB,0.6029571592925139,0.7634910182746621,0.10166087143251953,True,0.9144041897208665
44100,bessel4-fc20000,overlap-reference,A1,0.02458381073326651,0.03774224756729119,0.0016772158470780274,True,1.0015736848762253
44100,bessel4-fc20000,overlap-reference,B1,0.03673083114016571,0.05695889465104491,0.0012483692628391066,True,1.0046693485775207
44100,bessel4-fc20000,overlap-reference,AB,0.024584003296673346,0.03774224756729119,0.0016771852443520756,True,1.0015736848762253
44100,bessel4-fc20000,sustained-edge,A1,0.40134193307400406,0.2755676222084787,0.06973351760917414,True,1.1031536006617624
44100,bessel4-fc20000,sustained-edge,B1,0.9440805123691713,0.8217486175623373,0.1626585578624819,True,0.846223964266554
44100,bessel4-fc20000,sustained-edge,AB,0.4013420414597717,0.2755676222084787,0.06973331520564237,True,1.1031536006617624
44100,fir33-fc18000,reference,A1,0.02170931572424516,0.056835113141959735,0.021703386824514774,True,1.0254288203679207
44100,fir33-fc18000,reference,B1,0.0021132441200141174,0.008796339177099263,0.002112591554148291,True,1.0010413763028472
44100,fir33-fc18000,reference,AB,0.021681518219568013,0.056835113141959735,0.021675579622416917,True,1.0254288203679207
44100,fir33-fc18000,edge,A1,0.2740710988011674,0.27852401735093474,0.27405685453836226,True,0.9607497888750254
44100,fir33-fc18000,edge,B1,0.5116958720124134,0.37439572291713125,0.5116707945164509,True,0.6736082408872462
44100,fir33-fc18000,edge,AB,0.27407114433460367,0.27852401735093474,0.2740568940247067,True,0.9607497888750254
44100,fir33-fc18000,overlap-reference,A1,0.0029813729974864805,0.006909244319753338,0.002980600911222336,True,0.9998615403661382
44100,fir33-fc18000,overlap-reference,B1,0.0021132439661628983,0.008796335946602965,0.0021125914042033106,True,1.0010413671860985
44100,fir33-fc18000,overlap-reference,AB,0.0029813626034360338,0.006909244319753338,0.0029805907410422167,True,0.9998615403661382
44100,fir33-fc18000,sustained-edge,A1,0.14154574949622828,0.10052796724321443,0.14151781668915034,True,1.0379272690835355
44100,fir33-fc18000,sustained-edge,B1,0.5116958682362042,0.3743957131050648,0.5116707907422138,True,0.67360825115917
44100,fir33-fc18000,sustained-edge,AB,0.14154560308831757,0.10052796724321443,0.141517670830373,True,1.0379272690835355
44100,fir33-fc20000,reference,A1,0.013343128178462994,0.026723348409517924,0.01334558207646673,True,1.0149384094584737
44100,fir33-fc20000,reference,B1,0.001381416227594192,0.004398552207161371,0.001381615253360908,True,0.9998703192683519
44100,fir33-fc20000,reference,AB,0.013326064537632224,0.026723348409517924,0.013328490814248898,True,1.0149384094584737
44100,fir33-fc20000,edge,A1,0.11887902274739473,0.1056365914848255,0.11889238281583633,True,0.9540649751604164
44100,fir33-fc20000,edge,B1,0.18226578764461954,0.13299599944213933,0.18228328994066673,True,0.8833832841375101
44100,fir33-fc20000,edge,AB,0.11887903347930279,0.1056365914848255,0.11889237953496808,True,0.9540649751604164
44100,fir33-fc20000,overlap-reference,A1,0.0018266843941919218,0.0034739629915817687,0.001827046386856173,True,0.9997746052580596
44100,fir33-fc20000,overlap-reference,B1,0.0013814169286211707,0.004398554456975683,0.0013816159555793696,True,0.9998702455216477
44100,fir33-fc20000,overlap-reference,AB,0.0018266875802980553,0.0034739629915817687,0.0018270506743402039,True,0.9997746052580596
44100,fir33-fc20000,sustained-edge,A1,0.07563738948006321,0.03879668457663645,0.07564692552216568,True,1.0222622778556631
44100,fir33-fc20000,sustained-edge,B1,0.1822657808549917,0.13299599345925664,0.18228328314920658,True,0.8833832916183976
44100,fir33-fc20000,sustained-edge,AB,0.07563734036393545,0.03879668457663645,0.07564688061741583,True,1.0222622778556631
44100,fir65-fc18000,reference,A1,0.022511881091677663,0.055857659842309094,0.022508806776702694,True,1.0262929290790574
44100,fir65-fc18000,reference,B1,0.002196469080588911,0.008773802752247414,0.002196128435580356,True,1.0016001139725943
44100,fir65-fc18000,reference,AB,0.022483057235239964,0.055857659842309094,0.022479969901453584,True,1.0262929290790574
44100,fir65-fc18000,edge,A1,0.28178033147829107,0.2977446806077609,0.2817441248885011,True,0.9648540095792053
44100,fir65-fc18000,edge,B1,0.5488439281254699,0.3771465723095922,0.5488167228040727,True,0.7106380889367322
44100,fir65-fc18000,edge,AB,0.2817803840941673,0.2977446806077609,0.28174417166735893,True,0.9648540095792053
44100,fir65-fc18000,overlap-reference,A1,0.0030919918534730107,0.0068568537224652035,0.0030915669558737513,True,0.9999116236281582
44100,fir65-fc18000,overlap-reference,B1,0.0021964687850783106,0.008773799428050176,0.0021961281419630276,True,1.001600105196571
44100,fir65-fc18000,overlap-reference,AB,0.0030919779933227935,0.0068568537224652035,0.0030915539139271227,True,0.9999116236281582
44100,fir65-fc18000,sustained-edge,A1,0.1458013776492526,0.1074653037502843,0.14577948607723662,True,1.0391907471285529
44100,fir65-fc18000,sustained-edge,B1,0.5488439245456117,0.37714656405955965,0.5488167192254034,True,0.7106380984231846
44100,fir65-fc18000,sustained-edge,AB,0.1458014307141642,0.1074653037502843,0.14577954054533257,True,1.0391907471285529
44100,fir65-fc20000,reference,A1,0.014511699660440901,0.02638196097664766,0.014509074680376455,True,1.0155635543741623
