rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass
44100,iir-p16000-s18000,hann-g32,edge,A1,3.734116627054508e-05,2.3754174479237888e-05,3.0954092939367054e-05,True,1.7867565207985587e-08,True
44100,iir-p16000-s18000,kaiser-g32,edge,A1,2.833298184447835e-05,2.3547128127695235e-05,2.7170913414832787e-05,True,1.7867565207985587e-08,True
44100,iir-p16000-s18000,lagrange-g64,edge,A1,1.191741209405855e-06,1.3464007580803707e-06,8.063696498430443e-07,True,1.7867565207985587e-08,True
44100,iir-p16000-s18000,hann-g64,edge,A1,4.688487931170813e-06,3.0523175779855454e-06,3.9133017234506875e-06,True,1.7867565207985587e-08,True
44100,iir-p16000-s18000,kaiser-g64,edge,A1,1.6422343774190758e-05,1.1931471219929345e-05,1.6033008421644713e-05,True,1.7867565207985587e-08,True
44100,iir-p16000-s18000,kaiser-g16,edge,B1,7.338804291684835e-05,6.709830703317234e-05,7.181012227505329e-05,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,hann-g32,edge,B1,9.13796220403547e-05,7.093762685823766e-05,8.9738947307082e-05,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,kaiser-g32,edge,B1,3.678134681669935e-05,3.300059906849926e-05,3.62963724521093e-05,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,lagrange-g64,edge,B1,4.273820511986345e-06,5.169493583534631e-06,3.7032196738665245e-06,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,hann-g64,edge,B1,1.1339044878306103e-05,8.69430943677158e-06,1.1132876448599836e-05,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,kaiser-g64,edge,B1,2.0638244074669758e-05,1.3207830315674757e-05,2.0478981458066073e-05,True,4.2828886760486306e-08,True
44100,iir-p16000-s18000,kaiser-g16,edge,AB,3.960381527291522e-05,3.023938427272849e-05,3.443195093033935e-05,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,hann-g32,edge,AB,3.734116914910087e-05,2.3754174479239426e-05,3.095409305703533e-05,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,kaiser-g32,edge,AB,2.8332982144502986e-05,2.3547128127568898e-05,2.7170913125522124e-05,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,lagrange-g64,edge,AB,1.1917414278329527e-06,1.3464007580487867e-06,8.063698881732101e-07,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,hann-g64,edge,AB,4.68848828249139e-06,3.0523175779829683e-06,3.913305337485377e-06,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,kaiser-g64,edge,AB,1.6422343921211317e-05,1.1931471219803008e-05,1.6033010211779407e-05,True,1.7867566245827482e-08,True
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,A1,4.960843249771059e-05,5.4956056356369916e-05,4.7808253326974124e-05,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,hann-g32,overlap-reference,A1,5.432449573632987e-06,6.7061200932185396e-06,5.218003165230858e-06,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,kaiser-g32,overlap-reference,A1,2.1204793702458408e-05,2.5003139664804645e-05,2.054031115115788e-05,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,lagrange-g64,overlap-reference,A1,8.98175104888727e-09,1.1616794837230405e-08,7.608147987935735e-09,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,hann-g64,overlap-reference,A1,1.0300218128655235e-06,1.2255738313599433e-06,9.817054823001703e-07,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,kaiser-g64,overlap-reference,A1,1.728588165622659e-05,1.8926241593213596e-05,1.678932428570798e-05,True,2.119767973468271e-10,True
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,B1,5.889096032838387e-05,5.6206681558533424e-05,5.8826010891661734e-05,True,2.000528729053032e-10,True
44100,iir-p16000-s18000,hann-g32,overlap-reference,B1,4.282424287846293e-06,5.216888961633524e-06,4.279755483779217e-06,True,2.000528729053032e-10,True
44100,iir-p16000-s18000,kaiser-g32,overlap-reference,B1,1.680872220556663e-05,1.992757896901791e-05,1.6774837280054556e-05,True,2.000528729053032e-10,True
