policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S1-fir65,96000,edge,AB,0.9772162301535732,1.1044938548679308,0.296220322498409,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,overlap-reference,A1,0.18909667826020773,0.21441496075137378,0.01818725346104474,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,overlap-reference,A1,0.08204185496456826,0.08588645587785305,0.01103616681964449,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,overlap-reference,A1,0.5717556595850551,0.5392742883397137,0.203631440359677,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,overlap-reference,B1,0.3368757542312406,0.34234044730259156,0.003304203436110313,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,overlap-reference,B1,0.33684394832719416,0.34433859947133344,0.0033108192850361956,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,overlap-reference,B1,0.3367958949343363,0.32871323469602226,0.0033147713651779736,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,overlap-reference,AB,0.18909842354137127,0.21441496075137378,0.01818793963502493,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,overlap-reference,AB,0.08204379671919194,0.08588645587785305,0.011039765165030233,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,overlap-reference,AB,0.5717286367579687,0.5393111244944916,0.20361976213594937,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,sustained-edge,A1,1.255287664817345,1.1265447757752494,0.292433916304413,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,sustained-edge,A1,0.8908254170767801,0.4525471798877899,0.23778349219823333,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,sustained-edge,A1,1.3293711225030516,1.4242804411534642,0.49132306467306497,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,sustained-edge,B1,1.9342019758605244,1.9620768207088037,0.0033014558032985076,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,sustained-edge,B1,1.9347716981563594,1.930914605761172,0.0032512741359455467,True,physical effect plus numerical residual; not listening score
