source,role,case,mode,finite,partition_exact,difference_from_AB_rms,peak_linear,rms_linear,dc_left,dc_right,peak_dbfs,rms_dbfs,source_window_rms_dbfs,e_to_source_db,spectral_energy_centroid_hz,tail_energy,tail_energy_centroid_seconds,d1_min_path_m,d1_max_path_m,d1_max_speed_mps,d1_correction_rms,d1_drain_samples
sustained-pad-engineering.wav,engineering pad,A-U0.05-A0.005,a1b1d1,True,True,1.5558930049656056e-05,0.027468625456094742,0.0003428218572821518,-4.278712316802017e-07,2.1393561584010085e-07,-31.22326144702302,-69.2986299313353,-67.53771734077849,-44.22779478177401,3144.8883829663114,0.0,0.0,0,0.0049249354004859925,0.011576681565518554,1.5558930226725668e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.05-A0.015,a1b1d1,True,True,4.326366264338974e-05,0.02727237343788147,0.0003432112615474418,-4.278698841773329e-07,2.1393494208866645e-07,-31.28554129975104,-69.2887694078611,-67.52785681730428,-44.217934258299806,3154.6855903008545,0.0,0.0,0,0.014774806201457977,0.034730044696534845,4.326366286186591e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.05-A0.03,a1b1d1,True,True,8.324669864568035e-05,0.027543842792510986,0.0003434530085223828,-4.278669436536169e-07,2.1393347182680845e-07,-31.199509380958617,-69.2826535002103,-67.52174090965349,-44.21181835064901,3165.0479202766674,0.0,0.0,0,0.029549612402915953,0.049999999989336352,8.3246699035778693e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.2-A0.005,a1b1d1,True,True,1.755744953942552e-05,0.027450688183307648,0.00034279681350740427,-4.278731808829951e-07,2.1393659044149754e-07,-31.228935268017924,-69.29926447491745,-67.53835188436064,-44.22842932535616,3142.664264450902,0.0,0.0,0,0.0049524778127670293,0.046306725145467409,1.7557449503417118e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.2-A0.015,a1b1d1,True,True,4.853884553062672e-05,0.027356848120689392,0.0003432645047785133,-4.278756571222301e-07,2.1393782856111505e-07,-31.258678813485695,-69.28742204833969,-67.52650945778288,-44.2165868987784,3158.057774820762,0.0,0.0,0,0.014857433438301086,0.13892017543640223,4.8538845647906499e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.2-A0.03,a1b1d1,True,True,9.594384644451215e-05,0.02757543884217739,0.0003435735352250454,-4.2786946571303726e-07,2.1393473285651863e-07,-31.189551347315152,-69.27960592757125,-67.51869333701444,-44.20877077800996,3176.678112016668,0.0,0.0,0,0.029714866876602172,0.19999999918896005,9.5943846570236099e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.5-A0.005,a1b1d1,True,True,1.9220021789321634e-05,0.027456752955913544,0.00034280155683142895,-4.2787288892923053e-07,2.1393644446461527e-07,-31.22701647724363,-69.29914428796609,-67.53823169740927,-44.228309138404796,3142.607430959027,0.0,0.0,0,0.0049619269371032719,0.12259137149910754,1.9220021793780287e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.5-A0.015,a1b1d1,True,True,5.256273094716554e-05,0.027330666780471802,0.00034332978279966474,-4.278748916091236e-07,2.139374458045618e-07,-31.26699545575739,-69.28577042466766,-67.52485783411086,-44.214935275106384,3162.318284548049,0.0,0.0,0,0.014885780811309814,0.36777411449734343,5.2562730954060317e-05,4
sustained-pad-engineering.wav,engineering pad,A-U0.5-A0.03,a1b1d1,True,True,9.443932655855374e-05,0.027565566822886467,0.0003435985198641995,-4.278774922920645e-07,2.1393874614603224e-07,-31.19266145638726,-69.2789743133581,-67.51806172280129,-44.208139163796815,3177.5500905662116,0.0,0.0,0,0.029771561622619628,0.49999998928268452,9.4439326825230285e-05,4
sustained-pad-engineering.wav,engineering pad,B-L0.01,a1b1d1,True,True,4.789438994076354e-05,0.027316749095916748,0.0003432222939666105,-4.2787684304387056e-07,2.1393842152193528e-07,-31.27141972624621,-69.28849020712978,-67.52757761657297,-44.21765505756849,3156.201456119968,0.0,0.0,0,0.014885780811309814,0.19999999720679562,4.7894389993427911e-05,4
