rate,kernel,frequency_hz,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,core_pass
48000,lagrange-g0,12000.0,0.10016508988866,0.18075828958250564,0.07063581299480146,True,False
48000,lagrange-g0,16000.0,0.26342049418078917,0.5128007724728443,0.13020508606676634,True,False
48000,lagrange-g0,18000.0,0.37716663670182266,0.715234705934884,0.30656246329992676,True,False
48000,lagrange-g0,20000.0,0.5068072445062022,0.9605376378058946,0.3308082298786701,True,False
48000,lagrange-g8,1000.0,1.8076626651897132e-13,8.290590492569984e-13,1.2772040772707958e-13,True,True
48000,lagrange-g8,2000.0,3.5994839756081954e-13,1.5852319462219376e-12,2.551277616995812e-13,True,True
48000,lagrange-g8,4000.0,1.3606619650135736e-11,2.298211628191237e-11,3.994257125561076e-12,True,True
48000,lagrange-g8,8000.0,1.0871511007863617e-06,1.7006454034526704e-06,5.201222449833711e-07,True,True
48000,lagrange-g8,12000.0,0.0004672161954152829,0.0007301924502620964,0.00026975849339935185,True,True
48000,lagrange-g8,16000.0,0.01921964374769769,0.02997831424744244,0.014004815941315998,True,False
48000,lagrange-g8,18000.0,0.06946795812921103,0.10815642396636481,0.04727588963032645,True,False
48000,lagrange-g8,20000.0,0.18652010495225788,0.2895683184170442,0.14266107542646883,True,False
48000,hann-g8,1000.0,0.00010267430610146739,0.00019541992296534476,9.842793142073408e-05,True,True
48000,hann-g8,2000.0,0.0003135500636304809,0.0005904346119101069,0.00029849546469748104,True,True
48000,hann-g8,4000.0,0.0003029038070103117,0.0005576224424699076,0.00028565563581094345,True,True
48000,hann-g8,8000.0,0.0004649592841283464,0.0008449806849605973,0.00041891022635248335,True,True
48000,hann-g8,12000.0,0.0008594698058577997,0.001027109078904804,0.0006416161964635611,True,True
48000,hann-g8,16000.0,0.0008124155405959818,0.001209091237701595,0.0007231742584080033,True,True
48000,hann-g8,18000.0,0.007982902823428336,0.011466514351044513,0.006278387462872175,True,False
48000,hann-g8,20000.0,0.037507854461862854,0.05671949529682093,0.03304830230785805,True,False
48000,kaiser-g8,1000.0,3.682235915091601e-05,4.568018541475554e-05,2.5848358296431526e-05,True,True
48000,kaiser-g8,2000.0,4.2813956428816284e-05,5.256953620997948e-05,3.424200620187552e-05,True,True
48000,kaiser-g8,4000.0,4.359500461268709e-05,5.371109001674506e-05,3.5136343665065674e-05,True,True
48000,kaiser-g8,8000.0,3.6005826563057384e-05,4.342286091522137e-05,3.237610411060456e-05,True,True
48000,kaiser-g8,12000.0,8.224871349577813e-05,9.967007247127224e-05,6.109452766268044e-05,True,True
48000,kaiser-g8,16000.0,0.0001089914076951442,0.0001483345581486597,0.00010047259887911895,True,True
48000,kaiser-g8,18000.0,0.009853854408877016,0.014288080437212091,0.0077413767322642435,True,False
48000,kaiser-g8,20000.0,0.08358039252150767,0.1261458430937015,0.06913024409745486,True,False
48000,lagrange-g16,1000.0,1.8186798580638057e-13,8.401057684268773e-13,1.2846886445729995e-13,True,True
48000,lagrange-g16,2000.0,3.6201138507673747e-13,1.6024959142604229e-12,2.564585935621165e-13,True,True
48000,lagrange-g16,4000.0,7.309757398715035e-13,2.803928972773725e-12,5.156313887477347e-13,True,True
48000,lagrange-g16,8000.0,1.20083683185092e-11,2.1535996887426015e-11,5.902307872863013e-12,True,True
48000,lagrange-g16,12000.0,1.3298442139265237e-06,2.0776579118033e-06,7.74199588653552e-07,True,True
48000,lagrange-g16,16000.0,0.001444184437862166,0.0022548074234307654,0.0010766786414817772,True,True
48000,lagrange-g16,18000.0,0.015101945942334017,0.02356176975901409,0.010622834668964555,True,False
48000,lagrange-g16,20000.0,0.08642152342106184,0.134661213401397,0.06698478971693567,True,False
48000,hann-g16,1000.0,3.8023167848003696e-05,7.237071712477525e-05,3.645116378874537e-05,True,True
48000,hann-g16,2000.0,3.771335213479173e-05,7.139106192147134e-05,3.586853415040174e-05,True,True
48000,hann-g16,4000.0,4.135904287209532e-05,7.552908175719753e-05,3.918249514004127e-05,True,True
48000,hann-g16,8000.0,4.719542400774959e-05,8.790726401537724e-05,4.2707833118789244e-05,True,True
48000,hann-g16,12000.0,0.00010809672466186952,0.00012919026471483775,8.067989346601082e-05,True,True
48000,hann-g16,16000.0,0.0002990428147170167,0.00042190950556629476,0.0002644004802015407,True,True
48000,hann-g16,18000.0,0.0009864828510197444,0.0014169555420259687,0.0007740547207441501,True,True
48000,hann-g16,20000.0,0.0006597555449244806,0.0010117267490687143,0.000595868314398196,True,True
48000,kaiser-g16,1000.0,3.833700794453823e-05,5.392742887495691e-05,3.677912467931363e-05,True,True
48000,kaiser-g16,2000.0,3.4793364528709346e-05,4.6671308554234125e-05,3.268148158963869e-05,True,True
48000,kaiser-g16,4000.0,4.2236101105209586e-05,5.938451441082361e-05,4.078062397738568e-05,True,True
48000,kaiser-g16,8000.0,2.757359044154469e-05,3.185627561536846e-05,2.4972621810842427e-05,True,True
48000,kaiser-g16,12000.0,8.487358617650675e-06,1.1420702789186673e-05,7.3171053529423484e-06,True,True
48000,kaiser-g16,16000.0,4.958290340968342e-05,6.46135309352692e-05,4.6452685903208805e-05,True,True
48000,kaiser-g16,18000.0,9.143460085668014e-05,0.00013675002133653526,7.298858907558147e-05,True,True
48000,kaiser-g16,20000.0,0.00011078188156797608,0.00017419154544586523,0.00010233662497327347,True,True
48000,lagrange-g32,1000.0,1.8301766256937614e-13,8.489320415324591e-13,1.2924715219855393e-13,True,True
48000,lagrange-g32,2000.0,3.635960093633013e-13,1.6117662765190307e-12,2.574395825767394e-13,True,True
48000,lagrange-g32,4000.0,7.341206479113008e-13,2.803842236599655e-12,5.175560152050807e-13,True,True
48000,lagrange-g32,8000.0,1.4711595370125966e-12,6.159073731315481e-12,1.0430920568483231e-12,True,True
48000,lagrange-g32,12000.0,1.4753397840039546e-11,2.8350766192464237e-11,8.668349002474025e-12,True,True
